Dte.;Barri;2009 Total;2009 Homes;2009 Dones;2010 Total;2010 Homes;2010 Dones;2011 Total;2011 Homes;2011 Dones;2012 Total;2012 Homes;2012 Dones;2013 Total;2013 Homes;2013 Dones;2014 Total;2014 Homes;2014 Dones;2015 Total;2015 Homes;2015 Dones
7;147;116;58;58;127;80;47;113;56;57;110;60;50;98;57;41;104;62;42;130;71;59  
7;148;110;56;54;100;53;47;101;56;45;109;58;51;117;66;51;126;71;55;115;49;66  
7;149;102;54;48;109;60;49;96;48;48;95;45;50;97;55;42;93;45;48;112;59;53  
7;150;87;42;45;67;33;34;75;30;45;84;34;50;90;46;44;93;44;49;99;41;58  
7;151;118;48;70;113;37;76;92;35;57;119;49;70;118;51;67;101;40;61;113;48;65  
7;152;57;23;34;41;20;21;50;30;20;51;29;22;49;23;26;69;42;27;45;22;23  
7;153;1;0;1;6;5;1;7;6;1;6;3;3;7;3;4;6;3;3;2;0;2  
7;154;144;71;73;139;71;68;123;63;60;134;52;82;140;62;78;107;50;57;135;64;71  
7;155;81;46;35;79;41;38;92;52;40;71;35;36;80;36;44;68;34;34;74;36;38  
7;156;88;41;47;70;27;43;73;32;41;87;37;50;76;30;46;84;30;54;91;38;53  
8;157;112;48;64;88;46;42;104;52;52;114;65;49;106;45;61;104;54;50;102;52;50  
8;158;21;8;13;25;12;13;24;13;11;22;8;14;27;11;16;22;12;10;21;11;10  
8;159;51;28;23;58;32;26;59;29;30;54;26;28;69;34;35;58;29;29;65;31;34  
8;160;59;28;31;61;35;26;79;41;38;80;36;44;79;46;33;86;38;48;50;27;23  
8;161;125;59;66;100;45;55;95;43;52;109;47;62;88;47;41;105;47;58;109;42;67  
8;162;52;23;29;40;25;15;47;29;18;48;24;24;36;21;15;45;25;20;53;31;22  
8;163;80;52;28;92;53;39;78;38;40;100;55;45;100;54;46;107;53;54;104;58;46  
8;164;102;55;47;121;58;63;110;51;59;117;58;59;82;43;39;102;57;45;102;46;56  
8;165;70;38;32;66;31;35;72;43;29;79;33;46;76;43;33;63;38;25;89;48;41  
8;166;34;20;14;35;18;17;26;18;8;24;11;13;29;13;16;28;16;12;34;12;22  
8;167;84;48;36;72;42;30;96;46;50;90;51;39;91;42;49;78;45;33;89;43;46  
8;168;79;45;34;69;32;37;73;37;36;84;46;38;82;45;37;81;38;43;94;49;45  
8;169;53;27;26;48;25;23;66;34;32;61;30;31;60;31;29;58;31;27;59;27;32  
8;170;59;30;29;51;36;15;68;39;29;49;30;19;55;29;26;47;24;23;51;23;28  
8;171;69;41;28;65;36;29;62;33;29;80;47;33;59;31;28;63;34;29;63;34;29  
8;172;55;24;31;48;36;12;43;20;23;47;25;22;43;27;16;40;21;19;45;22;23  
8;173;75;40;35;67;41;26;53;32;21;83;47;36;72;43;29;73;41;32;62;33;29  
8;174;50;29;21;51;31;20;36;19;17;51;30;21;46;22;24;53;29;24;45;30;15  
8;175;54;30;24;42;24;18;65;37;28;55;34;21;54;31;23;54;28;26;64;28;36  
8;176;45;17;28;41;24;17;37;16;21;42;23;19;51;29;22;40;21;19;40;24;16  
8;177;82;43;39;77;44;33;90;43;47;80;37;43;70;42;28;73;40;33;93;48;45  
8;178;112;54;58;100;44;56;102;43;59;118;61;57;108;44;64;99;38;61;121;54;67  
8;179;21;17;4;25;13;12;19;15;4;23;13;10;19;12;7;14;9;5;21;13;8  
8;180;74;42;32;56;33;23;70;38;32;57;34;23;60;28;32;52;38;14;68;45;23  
8;181;27;10;17;15;6;9;26;12;14;32;13;19;29;10;19;48;16;32;35;10;25  
9;182;63;30;33;57;31;26;42;29;13;51;27;24;47;27;20;56;36;20;67;44;23  
9;183;38;19;19;21;8;13;19;9;10;15;7;8;26;15;11;28;16;12;25;16;9  
9;184;17;13;4;5;2;3;14;9;5;20;10;10;27;18;9;25;15;10;25;10;15  
9;185;91;43;48;80;40;40;87;54;33;88;50;38;86;46;40;100;57;43;80;39;41  
9;186;87;46;41;93;51;42;73;37;36;74;42;32;86;37;49;99;56;43;73;36;37  
9;187;47;18;29;45;25;20;42;25;17;41;19;22;49;29;20;32;19;13;53;26;27  
9;188;27;11;16;20;11;9;18;6;12;27;14;13;25;15;10;18;11;7;35;14;21  
9;189;29;11;18;22;8;14;19;11;8;32;17;15;28;19;9;33;16;17;49;23;26  
9;190;66;36;30;82;37;45;58;28;30;66;32;34;82;40;42;64;29;35;71;37;34  
9;191;97;48;49;75;46;29;84;27;57;83;34;49;86;36;50;79;30;49;98;44;54  
9;192;124;61;63;107;52;55;129;58;71;116;51;65;102;52;50;115;57;58;100;46;54  
9;193;80;44;36;84;45;39;78;38;40;72;33;39;86;43;43;77;38;39;92;55;37  
9;194;17;4;13;16;8;8;26;6;20;33;13;20;27;15;12;24;12;12;27;7;20  
9;195;56;31;25;55;27;28;52;25;27;39;19;20;56;31;25;58;32;26;50;27;23  
9;196;90;52;38;67;38;29;79;42;37;104;48;56;67;32;35;91;44;47;101;51;50  
